layer,component,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,mean_w1_v_recovery,valid_pairs,model_name
10,resid,-13.858127748359491,0.0,0.23793909196861304,-14.518143239504145,8.464303822461337,13,Qwen/Qwen2.5-1.5B-Instruct
11,mlp,-1.818781180356995,0.0,0.21169254814573785,-1.7635769489478,0.2795079014196289,13,Qwen/Qwen2.5-1.5B-Instruct
11,attn,-1.3870593916516802,0.0,0.19871222502434446,-1.493707785149276,1.4502473766520858,13,Qwen/Qwen2.5-1.5B-Instruct
11,resid,-11.254450118189768,0.0,0.23490613362005971,-11.86892750418292,7.93496770468994,13,Qwen/Qwen2.5-1.5B-Instruct
12,mlp,-1.9446172293605994,0.0,0.20104016558605303,-1.8629394067225473,-1.0224539046636913,13,Qwen/Qwen2.5-1.5B-Instruct
12,attn,0.0791684614472287,0.0,0.1988011128691733,0.08737919994608985,-0.36439386680829206,13,Qwen/Qwen2.5-1.5B-Instruct
12,resid,-5.637749884072242,0.0,0.22815806340405492,-6.213415697811523,9.861853394107102,13,Qwen/Qwen2.5-1.5B-Instruct
13,mlp,-2.0665256975864734,0.0,0.20478419164127865,-2.0681219506728836,-1.4668090600031503,13,Qwen/Qwen2.5-1.5B-Instruct
13,attn,-1.3683352639633999,0.0,0.20594548966315657,-1.3094011479943748,-0.7865500317031371,13,Qwen/Qwen2.5-1.5B-Instruct
13,resid,-16.59384400911704,0.0,0.2387922159542524,-17.233629219361323,4.437528379324715,13,Qwen/Qwen2.5-1.5B-Instruct
14,mlp,-2.768155571455923,0.0,0.20741909723930513,-2.733436100284929,-1.3002440760011558,13,Qwen/Qwen2.5-1.5B-Instruct
14,attn,1.3846206086626704,0.0,0.19559394800594737,1.5665628697720309,-1.308634371866428,13,Qwen/Qwen2.5-1.5B-Instruct
14,resid,-12.422655588763654,0.0,0.23414781440716775,-12.880716240412479,-1.1012952763673605,13,Qwen/Qwen2.5-1.5B-Instruct
15,mlp,1.2174743532547372,0.0,0.2008642178013699,1.294466137038234,-4.142572670576767,13,Qwen/Qwen2.5-1.5B-Instruct
15,attn,2.2483621650403793,0.0,0.19691155397359822,2.247534543767343,2.1764713399515396,13,Qwen/Qwen2.5-1.5B-Instruct
15,resid,-8.064254195324647,0.0,0.22988436609275242,-8.377292884330286,0.034556119178367914,13,Qwen/Qwen2.5-1.5B-Instruct
16,mlp,-7.283219171559234,0.0,0.20882486569795958,-7.162641185226983,1.5342678530599714,13,Qwen/Qwen2.5-1.5B-Instruct
16,attn,2.9477272118813103,0.0,0.19543126182522194,3.214800404577249,-1.0739055583178558,13,Qwen/Qwen2.5-1.5B-Instruct
16,resid,-10.846227194625433,0.0,0.2386306413837009,-11.36407909634781,-1.7659648077569934,13,Qwen/Qwen2.5-1.5B-Instruct
17,mlp,-0.0422409657062955,0.0,0.19844976071540682,0.042703087312406365,0.6981614443455817,13,Qwen/Qwen2.5-1.5B-Instruct
17,attn,-0.3096359341474077,0.0,0.19779724016177955,-0.2660859451046387,-0.9613431837405262,13,Qwen/Qwen2.5-1.5B-Instruct
17,resid,-6.707088207982008,0.0,0.23780893233224146,-7.178047604749452,-2.8913288931257544,13,Qwen/Qwen2.5-1.5B-Instruct
18,mlp,1.6308062600761564,0.0,0.19718490137293793,1.6106124130042123,1.0654556267825994,13,Qwen/Qwen2.5-1.5B-Instruct
18,attn,2.012300090303439,0.0,0.19767564306756544,2.0060488696861176,1.9685017846907409,13,Qwen/Qwen2.5-1.5B-Instruct
18,resid,-1.1894312856142313,0.0,0.22596654817365783,-1.4946910238066038,7.16508317994628,13,Qwen/Qwen2.5-1.5B-Instruct
19,mlp,3.2136350066761312,0.0,0.19588394179311613,3.1089705318587004,1.9838956782924164,13,Qwen/Qwen2.5-1.5B-Instruct
19,attn,-5.582718196842087,-0.7346292682958389,0.2067164478841471,-5.848720160463965,-5.363864454896903,13,Qwen/Qwen2.5-1.5B-Instruct
19,resid,0.4828869352471023,0.0,0.22359838119054481,0.698590925266622,-1.2426926353192436,13,Qwen/Qwen2.5-1.5B-Instruct
20,mlp,2.5976933660289867,0.0,0.1943684653341954,2.60319528024075,0.48933363242928557,13,Qwen/Qwen2.5-1.5B-Instruct
20,attn,4.230995104348785,0.0,0.19494246013761715,4.512403931922012,1.3229624492561054,13,Qwen/Qwen2.5-1.5B-Instruct
20,resid,-1.4809993885900798,0.0,0.20613676542307766,-1.8061613907765455,1.4506350517634088,13,Qwen/Qwen2.5-1.5B-Instruct
21,mlp,0.6522897285477631,0.0,0.1955763629530577,0.7156556760740673,3.926077479266295,13,Qwen/Qwen2.5-1.5B-Instruct
