layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp
10,mlp,False,0.006448654434179472,-0.4232079687481553,0.007991644859654588,0.0068643154690774975,-0.3161462701185327,0.7619047619047619,0.006604532875691895,0.0004930579805796203,-0.4272008259737208,0.5714285714285714,0.006642786156243072,0.00045442730973451357,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
10,attn,False,0.0069767629147551614,-2.3887305775655636,0.007551031047433307,0.007498266097056939,0.35088363157389374,0.23809523809523808,0.006795382511526986,0.0005169246636401683,0.5185850714260934,0.2857142857142857,0.0067520429387892085,0.00043333290591643863,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
10,resid,False,0.008027951931090247,-0.2712347550172097,0.007338209147146349,0.008441207655261894,2.5294937167294655,0.047619047619047616,0.006832815766692156,0.0004724803847085077,1.7840707829810591,0.09523809523809523,0.006929265016046996,0.0006158314600093507,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
11,mlp,False,0.005721040962094728,-0.12083018415011877,0.006423490976311728,0.006996232113945158,-1.1453038983448929,0.9523809523809523,0.006371567837565173,0.0005679949892867195,-1.5302687485016067,0.9523809523809523,0.006373890275286567,0.00042662395989664546,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9876543209876543,False
11,attn,False,0.006263698414163033,-1.178286860739461,0.006824964482846919,0.0062924803157964814,-0.24310584052784,0.5238095238095238,0.006371337638098856,0.00044276691873018534,-0.20943358017218894,0.5714285714285714,0.00635673681860538,0.00044423823708621146,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
11,resid,False,0.006837670336171501,0.6065019821076277,0.0065010014519141235,0.00778658969370997,0.19484766645951757,0.3333333333333333,0.006731398359547514,0.0005454105689588372,0.37848060090777075,0.3333333333333333,0.006611146466983335,0.0005985085329204654,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
12,mlp,False,0.007066522174746131,-0.20225507313557287,0.007840087524491316,0.006989205360351525,1.9400153925384316,0.09523809523809523,0.006249814346268689,0.00042098007655950233,1.337024941025637,0.14285714285714285,0.006336671561376779,0.0005458765883675149,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
12,attn,False,0.006347493866067501,-0.2478817648199655,0.006817042275518837,0.007123733261419052,0.32792013888138466,0.3333333333333333,0.006241948003774577,0.00032186453278827763,0.49494334101626225,0.3333333333333333,0.0061697203522343095,0.0003591795244040877,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
12,resid,False,0.006137481354989626,-1.0295921481767945,0.006935200361440281,0.008153496595107869,-0.8934444894565671,0.7619047619047619,0.006533837754221635,0.0004436273365713967,-0.5238118824134639,0.7619047619047619,0.006401861717277561,0.0005047238735207798,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9411764705882353,False
13,mlp,False,0.006456145484680118,-2.1612792375495635,0.007041196853780105,0.007125096956630849,0.028526812997297042,0.47619047619047616,0.006444759414784567,0.00039913571476174063,0.5888238640613762,0.2857142857142857,0.006228074771178234,0.00038733265993803336,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
13,attn,False,0.006023339815122008,-2.2006195395696886,0.006613612447717949,0.007530057711760466,-0.5468279660098893,0.7142857142857143,0.006246334670285133,0.0004077970934630146,-0.327380712145954,0.6190476190476191,0.00618754435810729,0.0005015706084482941,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8666666666666667,False
13,resid,False,0.005736254428098456,-1.6239939805975796,0.007395509303162353,0.006542345089187681,-1.0818225358440696,0.9047619047619048,0.006235742304006494,0.00046170962367531347,-1.3165951188906584,0.9047619047619048,0.006477184337138129,0.0005627621570281746,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.987012987012987,False
14,mlp,False,0.005604832504688659,-1.5748461415640636,0.00648548464767995,0.006785274983773728,-1.3375045109501285,0.9523809523809523,0.006265538764743822,0.000493984322778706,-1.6717321845594928,0.9523809523809523,0.0063848288683156385,0.00046657973737133717,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9876543209876543,False
14,attn,False,0.006548931413645343,-0.7738306580808031,0.006574681295077979,0.00714448050630118,0.6475432875324093,0.42857142857142855,0.00621720743813498,0.0005122807724167164,0.4219067859397598,0.38095238095238093,0.006329659730619141,0.0005197159427947893,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
14,resid,False,0.005615238995120261,-1.0443784630515152,0.007362380049318831,0.007149563896595985,-1.4181004694867783,1.0,0.006206566195892901,0.00041698540653233534,-1.4315554164229018,1.0,0.006531790956625832,0.0006402490263323544,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,1.0,False
15,mlp,True,0.005929314342218425,-0.26968877946125513,0.006515640393146362,0.00670990184302239,-0.2004398452897191,0.6190476190476191,0.006012867537293637,0.00041684922952541187,-0.2981151273699535,0.6190476190476191,0.006062895479162502,0.0004480857382936682,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8666666666666667,False
15,attn,True,0.006189674134206571,-0.7710393041816689,0.006345456098448372,0.0058417050007645846,0.1808703683340567,0.47619047619047616,0.006126743631595566,0.0003479315223971687,-0.0852176392902044,0.47619047619047616,0.006230170726999339,0.0004752137366168874,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
15,resid,True,0.00630148532173679,-0.2861082421815292,0.007154083460378578,0.007117568896148686,0.5661587659323006,0.38095238095238093,0.006087720868082401,0.0003775698028844976,-0.31236049243771646,0.7142857142857143,0.00645611602840467,0.0004950392588419696,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9090909090909091,False
16,mlp,False,0.006635548648330262,-2.713830642437878,0.00678691286171783,0.005582567428147597,1.3689077552260411,0.14285714285714285,0.005892462285056518,0.0005428315826518506,2.457302356066035,0.047619047619047616,0.005878842148261098,0.0003079419584656225,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
16,attn,False,0.006005120393585622,-0.13998733509174394,0.006237115218738581,0.005706431325892924,0.07123056231736766,0.47619047619047616,0.005980455709155379,0.00034626547408609265,0.04016896217260805,0.42857142857142855,0.005992026604645397,0.0003259678177384749,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
16,resid,False,0.00667499047747503,-2.027497651325773,0.006448730504998208,0.00598848388689572,1.3992816373346597,0.23809523809523808,0.005997658555465756,0.0004840568931494375,1.3692402407313544,0.09523809523809523,0.006220654844554481,0.00033181586357546256,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
17,mlp,False,0.005111667019776097,-0.7866267996953539,0.0062136325583542745,0.006236538699296011,-1.7854445806651813,0.9523809523809523,0.005919386283183269,0.0004523911143219298,-1.245947683258694,0.9047619047619048,0.005623892534412896,0.0004111131803681412,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.987012987012987,False
17,attn,False,0.005946856087735706,-1.8946868744963856,0.00657391791746603,0.005682820673773599,0.38304507935731263,0.42857142857142855,0.005797464677104939,0.0003900099979914148,0.6383586758307155,0.3333333333333333,0.005687927667527905,0.00040561588650902213,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
17,resid,False,0.005587313263345657,-1.493401080515606,0.006381944252435125,0.006593301101176724,-0.5642409633305866,0.7619047619047619,0.005753474230333991,0.0002944858274867598,-0.4668244300477678,0.6666666666666666,0.0058323946131078035,0.0005249968381840442,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.875,False
18,mlp,False,0.0058166875240626865,-1.2506200105268714,0.00688723965947083,0.006481113356521889,-0.032459293840527405,0.42857142857142855,0.005829462435099962,0.0003935671274932358,0.20191910561830873,0.47619047619047616,0.005735019510611205,0.0004044590688998978,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
18,attn,False,0.0052776705832766335,-1.2945555971636111,0.006712617349621832,0.005909599608401957,-1.436768116628181,0.9047619047619048,0.005855520894199491,0.00040218759327633266,-1.774532911323371,0.9523809523809523,0.005755960295989128,0.0002695299194850135,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9876543209876543,False
18,resid,False,0.005081946186935765,-1.4392479555842699,0.006945764217912333,0.006392297478772544,-1.397165704678659,0.9523809523809523,0.0057017301469906665,0.00044360089714444336,-2.212630021746236,0.9523809523809523,0.005810222910081247,0.0003291452777860785,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9876543209876543,False
19,mlp,False,0.00605211802240872,-1.513899039602907,0.006505743250848952,0.006453021155445254,1.1967716382574227,0.14285714285714285,0.005654745055751223,0.00033203741963345486,1.9048596582445498,0.047619047619047616,0.005437507940178991,0.0003226537343943393,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
19,attn,False,0.005434892956181803,-0.1502556101405576,0.006022462238223132,0.005385697967077367,-0.27828718725888135,0.7619047619047619,0.005562245487857174,0.00045762987843525567,-0.008973365687144366,0.5238095238095238,0.005438823666086449,0.0004380418721012195,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
19,resid,False,0.005906912407635289,-1.6847814396410865,0.0060064200251149745,0.006101278054412329,0.5795213412752123,0.3333333333333333,0.005711589009508456,0.00033704263193661113,0.9388771969868429,0.23809523809523808,0.005573118458143095,0.00035552461020828426,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
20,mlp,False,0.006035728136143797,-2.222116539666728,0.005581649012088481,0.004989192441320739,2.2230549558520445,0.047619047619047616,0.005180155964738872,0.00038486325727247035,1.9765280074783291,0.09523809523809523,0.005421180327612956,0.00031092289418903124,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
20,attn,False,0.005529054361978836,-1.0991804248963788,0.006034151127827496,0.004974303307613622,-0.22898740674582982,0.6190476190476191,0.0056115834853411786,0.0003604090047360016,0.3875421258725137,0.3333333333333333,0.005375117705438979,0.00039721270608526277,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
